timestamp_s,p_yield,p_go,p_hesitate,accepted_gap_s,aggressiveness,yield_deceleration_mps2,required_yield_deceleration_mps2,yield_feasibility,yield_deceleration_excess_mps2,delta_ttc_s,delta_ttc_rate,ego_commit_score,obj_stop_proximity_score
0,0.112769,0.315747,0.571484,1.57032,0.472133,-1.48156,-0.81195,0.935743,0,0,0,0.45,0
0.1,0.0936597,0.330681,0.575659,1.55505,0.444884,-1.48206,-0.829969,0.931399,0,0,0,0.45,0
0.2,0.0582334,0.352704,0.589063,1.54382,0.418143,-1.45804,-0.850001,0.919246,0,0,0,0.45,0
0.3,0.0501432,0.347941,0.601916,1.53447,0.395871,-1.45326,-0.871495,0.911093,0,0,0,0.45,0
0.4,0.0853992,0.370226,0.544374,1.52667,0.373488,-1.4397,-0.894445,0.898532,0,0,0,0.45,0
0.5,0.0498179,0.41796,0.532222,1.53085,0.346076,-1.42646,-0.92221,0.882569,0,0,0,0.45,0
0.6,0.0749062,0.384336,0.540757,1.53795,0.333828,-1.41242,-0.952388,0.862962,0,0,0,0.45,0
0.7,0.040696,0.461733,0.497571,1.54768,0.312661,-1.40342,-0.984799,0.842171,0,0,0,0.45,0
0.8,0.0551189,0.468399,0.476482,1.54288,0.299106,-1.39371,-1.01367,0.820565,0,0,0,0.45,0
0.9,0.0389411,0.476392,0.484667,1.55013,0.284839,-1.36188,-1.04814,0.778158,0,0,0,0.45,0
1,0.0478768,0.477217,0.474907,1.55724,0.268184,-1.3421,-1.08417,0.737249,0,0,0,0.45,0
1.1,0.0580686,0.470398,0.471533,1.56082,0.251094,-1.32551,-1.12064,0.694129,0,0,0,0.45,0
1.2,0.0522483,0.572499,0.375253,1.58243,0.223287,-1.28337,-1.16536,0.61586,0,0,0,0.45,0
1.3,0.0362709,0.5639,0.399829,1.58436,0.204662,-1.24762,-1.20499,0.542529,0,0,0,0.45,0
1.4,0.0402416,0.533417,0.426341,1.59402,0.190541,-1.21266,-1.24944,0.46329,0.0367762,0,0,0.45,0
1.5,0.0368479,0.513457,0.449695,1.60323,0.179574,-1.18634,-1.29591,0.392144,0.109578,0,0,0.45,0
1.6,0.0339091,0.542985,0.423106,1.60447,0.170125,-1.15871,-1.34144,0.32499,0.182733,0,0,0.45,0
1.7,0.0260497,0.555062,0.418888,1.6196,0.161728,-1.11488,-1.3949,0.245998,0.280018,0,0,0.45,0
1.8,0.0176884,0.609854,0.372458,1.62318,0.152399,-1.08731,-1.44672,0.191908,0.359415,0,0,0.45,0
1.9,0.0104904,0.659869,0.329641,1.63491,0.141094,-1.05972,-1.50441,0.144459,0.444685,0,0,0.45,0
2,0.0155377,0.666701,0.317761,1.64856,0.13121,-1.02481,-1.56584,0.103017,0.541036,0,0,0.45,0
2.1,0.0136989,0.637784,0.348517,1.66197,0.121321,-0.995816,-1.63041,0.073211,0.634595,0,0,0.45,0
2.2,0.0112789,0.65105,0.337671,1.67508,0.117101,-0.980047,-1.69833,0.0534984,0.71828,0,0,0.45,0
2.3,0.00433322,0.629629,0.366037,1.68395,0.10687,-0.974044,-1.76841,0.040023,0.794364,0,0,0.45,0
2.4,0.00128201,0.675257,0.323461,1.6858,0.0990911,-0.973538,-1.83995,0.0303052,0.866415,0,0,0.45,0
2.5,0.000236373,0.725683,0.274081,1.69302,0.0954984,-0.96945,-1.91778,0.0220251,0.948325,0,0,0.45,0
2.6,0.00232457,0.778262,0.219413,1.7072,0.0884807,-0.965583,-2.00212,0.015579,1.03653,0,0,0.45,0
2.7,0,0.817924,0.182076,1.71381,0.0853514,-0.959958,-2.08934,0.0107981,1.12938,0,0,0.45,0
2.8,0,0.815871,0.184129,1.72571,0.0811029,-0.969395,-2.18378,0.00770979,1.21438,0,0,0.45,0
2.9,0.000458043,0.865548,0.133994,1.74347,0.0765267,-0.975321,-2.28586,0.00526106,1.31054,0,0,0.45,0
3,0,0.865145,0.134855,1.75363,0.0744244,-0.980783,-2.3917,0.00352735,1.41092,0,0,0.45,0
3.1,0,0.823164,0.176836,1.75923,0.068541,-0.987727,-2.49851,0.00236852,1.51078,0.00191604,0.0191604,0.45,0
3.2,0.000158772,0.743034,0.256808,1.76232,0.0599044,-0.983783,-2.60272,0.001538,1.61893,0.00739176,0.0547571,0.45,0
3.3,0,0.775688,0.224312,1.75967,0.0515693,-0.990491,-2.7025,0.00106042,1.71201,0.0167637,0.0937195,0.45,0
3.4,0.00161465,0.80051,0.197875,1.74548,0.0471528,-0.994982,-2.79639,0.000741837,1.80141,0.0296781,0.129144,0.45,0
3.5,0,0.672695,0.327305,1.6825,0.0487625,-0.992119,-2.87504,0.000535552,1.88292,0.0450729,0.153948,0.45,0
3.6,0,0.593682,0.406318,1.6004,0.0513459,-0.959544,-2.94298,0.000358309,1.98344,0.0626414,0.175684,0.45,0
3.7,0.00403616,0.501743,0.494221,1.4409,0.0511988,-0.939476,-2.96848,0.000298621,2.02901,0.0835284,0.20887,0.45,0
3.8,0.00142344,0.31196,0.686617,1.15261,0.0512105,-0.921483,-2.85925,0.000430102,1.93776,0.107487,0.239582,0.45,0
3.9,0.0101943,0.2213,0.768506,0.991569,0.0594741,-0.919866,-2.76126,0.000632271,1.84139,0.133508,0.260214,0.45,0
4,0.0262983,0.1191,0.854602,0.895554,0.0580593,-0.927303,-2.68221,0.000893355,1.75491,0.162105,0.285974,0.45,0
4.1,0.104028,0.0736847,0.822287,0.86179,0.0540427,-0.954756,-2.66789,0.00105565,1.71313,0.193056,0.30951,0.45,0
4.2,0.602429,0.0256495,0.371921,0.744566,0.0530011,-1.17104,-2.42804,0.00650925,1.257,0.22695,0.338937,0.45,0
4.3,0.963059,0.00148614,0.0354545,0.653502,0.0528234,-1.3977,-2.1355,0.0496803,0.737798,0.262808,0.358578,0.45,0
4.4,0.997667,4.8887e-05,0.00228375,0.631632,0.0473515,-1.52651,-1.99375,0.133662,0.467239,0.30043,0.376223,0.45,0
4.5,0.999842,2.42874e-06,0.000155276,0.626302,0.0438995,-1.65171,-1.87171,0.293178,0.22,0.340477,0.400469,0.45,0
4.6,0.999985,1.43363e-07,1.52084e-05,0.625593,0.0383764,-1.7571,-1.73089,0.526186,0,0.382097,0.416198,0.45,0
4.7,0.999999,8.2608e-09,8.99085e-07,0.625996,0.0368127,-1.85789,-1.5436,0.778539,0,0.426608,0.445115,0.45,0
4.8,1,1.46344e-09,1.09788e-07,0.629941,0.0380977,-1.90138,-1.31347,0.913064,0,0.47412,0.475112,0.45,0
4.9,1,1.21342e-10,1.52028e-08,0.636848,0.041088,-1.93707,-1.03028,0.974096,0,0.52463,0.505104,0.45,0
5,1,2.4727e-11,4.14299e-09,0.643544,0.0484461,-1.94998,-0.666946,0.994131,0,0.577165,0.525345,0.45,0
5.1,1,2.6293e-11,1.2741e-09,0.656698,0.0523298,-1.96142,-0.26236,0.998883,0,0.632727,0.555623,0.45,0
5.2,1,8.09562e-11,2.58809e-10,0.663096,0.0566204,-1.96963,0,0.999621,0,0.691433,0.587066,0.465813,0
5.3,1,1.77318e-10,6.87766e-10,0.672575,0.0595197,-1.97394,0,0.999628,0,0.75463,0.631968,0.561375,0
5.4,1,1.09845e-09,2.03998e-09,0.690787,0.0580205,-1.9731,0,0.999627,0,0.821561,0.669303,0.656937,0.04
5.5,1,5.81031e-09,4.78989e-09,0.70429,0.0568658,-1.97397,0,0.999628,0,0.893962,0.724015,0.7525,0.119
5.6,1,1.79761e-08,2.16398e-08,0.717256,0.0561049,-1.97463,0,0.999629,0,0.97201,0.78048,0.847375,0.193
